['1101', '32.70', '32.15', '32.20', '32.30', '18056', 'tse']
['1102', '41.95', '41.30', '41.50', '41.75', '4679', 'tse']
['1103', '17.70', '17.45', '17.70', '17.55', '429', 'tse']
['1104', '32.90', '32.25', '32.25', '32.75', '2976', 'tse']
['1108', '16.75', '16.05', '16.10', '16.70', '4176', 'tse']
['1109', '19.80', '19.50', '19.60', '19.65', '975', 'tse']
['1110', '18.15', '17.85', '18.00', '17.90', '296', 'tse']
['1201', '18.90', '18.80', '18.80', '18.90', '271', 'tse']
['1203', '50.20', '49.00', '49.00', '50.20', '7', 'tse']
['1210', '58.10', '57.40', '57.40', '58.00', '1095', 'tse']
['1213', '7.26', '7.10', '7.10', '7.21', '130', 'tse']
['1215', '112.00', '108.00', '112.00', '109.00', '878', 'tse']
['1216', '75.90', '74.50', '74.50', '75.40', '6143', 'tse']
['1217', '11.95', '11.90', '11.95', '11.95', '649', 'tse']
['1218', '21.90', '21.50', '21.55', '21.75', '511', 'tse']
['1219', '18.70', '18.65', '18.65', '18.70', '178', 'tse']
['1220', '15.45', '15.20', '15.45', '15.25', '291', 'tse']
['1225', '56.30', '56.00', '56.00', '56.30', '8', 'tse']
['1227', '38.80', '38.20', '38.20', '38.80', '666', 'tse']
['1229', '67.90', '67.10', '67.10', '67.40', '686', 'tse']
['1231', '98.90', '97.20', '97.50', '98.50', '151', 'tse']
['1232', '146.00', '145.00', '146.00', '146.00', '46', 'tse']
['1233', '33.90', '33.80', '33.90', '33.80', '8', 'tse']
['1234', '42.15', '41.90', '41.90', '42.05', '218', 'tse']
['1235', '82.70', '82.10', '82.10', '82.70', '12', 'tse']
['1236', '23.75', '23.45', '23.75', '23.45', '37', 'tse']
['1240', '52.70', '52.00', '52.30', '52.60', '40', 'otc']
['1256', '232.50', '230.00', '230.00', '232.00', '44', 'tse']
['1259', '75.00', '74.50', '75.00', '74.50', '7', 'otc']
['1264', '305.50', '304.00', '304.00', '305.50', '6', 'otc']
['1268', '154.50', '153.00', '153.50', '153.00', '64', 'otc']
['1301', '70.60', '69.40', '69.90', '70.40', '7084', 'tse']
['1303', '57.70', '55.90', '56.00', '57.70', '12386', 'tse']
['1304', '16.10', '15.85', '16.05', '16.00', '1741', 'tse']
['1305', '18.60', '18.25', '18.55', '18.55', '1462', 'tse']
['1307', '30.30', '29.55', '30.00', '30.20', '1179', 'tse']
['1308', '19.45', '19.20', '19.25', '19.45', '495', 'tse']
['1309', '15.60', '15.40', '15.60', '15.60', '328', 'tse']
['1310', '13.30', '13.20', '13.30', '13.30', '606', 'tse']
['1312', '13.30', '13.10', '13.20', '13.30', '1928', 'tse']
['1313', '13.30', '13.15', '13.15', '13.20', '990', 'tse']
['1314', '9.60', '9.46', '9.47', '9.59', '11509', 'tse']
['1315', '73.50', '73.20', '73.40', '73.40', '46', 'tse']
['1316', '20.30', '19.35', '19.70', '19.85', '8953', 'tse']
['1319', '123.50', '119.50', '121.00', '122.00', '3599', 'tse']
['1321', '34.70', '34.30', '34.65', '34.60', '468', 'tse']
['1323', '31.00', '30.95', '30.95', '31.00', '7', 'tse']
['1324', '14.75', '14.40', '14.55', '14.60', '328', 'tse']
['1325', '29.10', '28.85', '29.05', '28.90', '201', 'tse']
['1326', '55.20', '54.60', '55.10', '55.10', '3257', 'tse']
['1336', '19.80', '18.90', '19.60', '18.95', '712', 'otc']
['1337', '7.16', '7.12', '7.12', '7.16', '214', 'tse']
['1338', '35.95', '35.80', '35.80', '35.80', '46', 'tse']
['1339', '72.60', '70.30', '72.20', '70.80', '299', 'tse']
['1340', '10.05', '9.90', '10.05', '10.00', '214', 'tse']
['1341', '63.50', '63.20', '63.50', '63.40', '37', 'tse']
['1342', '136.00', '132.00', '136.00', '132.50', '1038', 'tse']
['1402', '32.70', '32.30', '32.35', '32.65', '4518', 'tse']
['1409', '15.75', '15.60', '15.75', '15.75', '2270', 'tse']
['1410', '36.00', '35.65', '35.75', '35.65', '103', 'tse']
['1413', '9.09', '9.00', '9.03', '9.09', '12', 'tse']
['1414', '19.40', '18.90', '19.15', '19.00', '701', 'tse']
['1416', '12.40', '12.10', '12.15', '12.25', '870', 'tse']
['1417', '11.40', '11.30', '11.30', '11.40', '209', 'tse']
['1418', '34.60', '33.40', '33.40', '34.10', '154', 'tse']
['1419', '46.70', '46.15', '46.15', '46.50', '66', 'tse']
['1423', '31.30', '31.15', '31.20', '31.15', '105', 'tse']
['1432', '18.35', '17.85', '18.00', '18.20', '314', 'tse']
['1434', '22.35', '22.15', '22.20', '22.35', '625', 'tse']
['1435', '49.60', '49.50', '49.50', '49.60', '2', 'tse']
['1436', '113.50', '108.50', '108.50', '111.50', '332', 'tse']
['1437', '32.90', '32.25', '32.25', '32.65', '212', 'tse']
['1438', '50.60', '48.30', '48.55', '49.95', '399', 'tse']
['1439', '27.80', '27.20', '27.20', '27.40', '64', 'tse']
['1440', '15.70', '15.50', '15.50', '15.60', '1496', 'tse']
['1441', '13.30', '13.20', '13.30', '13.25', '51', 'tse']
['1442', '45.30', '44.75', '44.80', '45.30', '1185', 'tse']
['1443', '29.35', '29.00', '29.35', '29.10', '52', 'tse']
['1444', '9.14', '9.06', '9.10', '9.14', '1067', 'tse']
['1445', '22.65', '21.85', '22.00', '22.25', '1553', 'tse']
['1446', '34.10', '33.50', '33.70', '34.10', '183', 'tse']
['1447', '7.95', '7.88', '7.95', '7.92', '493', 'tse']
['1449', '18.80', '18.50', '18.70', '18.55', '607', 'tse']
['1451', '19.40', '19.30', '19.30', '19.40', '55', 'tse']
['1452', '16.80', '16.70', '16.70', '16.75', '178', 'tse']
['1453', '15.95', '15.55', '15.60', '15.95', '380', 'tse']
['1454', '16.50', '15.90', '15.90', '15.95', '90', 'tse']
['1455', '14.90', '14.45', '14.55', '14.75', '1873', 'tse']
['1456', '20.00', '19.55', '19.60', '19.85', '125', 'tse']
['1457', '20.10', '19.80', '20.10', '20.00', '319', 'tse']
['1459', '9.93', '9.80', '9.84', '9.93', '140', 'tse']
['1460', '8.51', '8.20', '8.51', '8.21', '1587', 'tse']
['1463', '18.50', '18.35', '18.35', '18.40', '110', 'tse']
